Violentos;Alerta;Pob;Morad;Urbano;Ingreso;Pobreza;Cesantia;Divorcio;Hsol;Inmig;NIng;Sobrep;Area;Dens;Transp
2825;Bajo;11980;3,1;100;75122;1,96;2,7;4,47;0,36;3,3;1,37;4,17;6,5;1845,9;9,63
4358;Alto;23123;2,82;100;47917;3,98;2,43;5,42;0,24;1,87;1,81;3,34;10,6;2186,7;3,84
5546;Alto;29344;2,43;100;35669;4,75;4,01;12,55;0,88;1,78;1,14;2,05;10,6;2780,9;4,37
3605;Bajo;16656;2,4;0;20580;17,23;9,86;12,91;3,84;0,31;0,56;2,56;5,2;3217,7;3,31
1776;Bajo;11245;2,76;0;17390;29,99;9,08;9,73;4,7;1,22;0,39;3,11;11,5;974,2;0,38
20338;Alto;140494;2,45;100;21577;17,78;5,72;13,04;1,58;0,68;0,6;1,92;70,4;1995,7;0,97
5423;Alto;28700;2,6;100;42805;4,01;4,85;7,64;1,18;2,55;0,6;3,46;10,9;2643,5;9,62
8694;Alto;59459;2,45;100;23221;17,98;8,19;14,94;4,66;0,29;0,28;2,55;39,2;1515,3;0,7
11385;Alto;74111;2,46;100;25326;13,68;4,18;8,64;1,64;1,07;0,43;1,54;30,9;2399,3;1,41
14644;Alto;103590;2,62;100;17852;28,68;8,39;12,97;4,71;2,31;2,51;4,1;78,5;1319,3;0,76
4588;Alto;31601;2,54;100;24763;15,61;7,19;13,53;2,47;1,94;0,81;2,51;38,7;816,1;0
7814;Alto;25158;2,89;100;25479;19,02;10,16;16,57;7,44;16,46;10,8;8,45;2,7;9387,3;11,22
5825;Alto;40641;2,54;0;20043;23,91;6,93;11,95;3,56;0,92;0,59;1,87;30;1354,2;0,28
8110;Alto;57140;2,74;100;19143;27,71;11,05;12,74;8,51;0,28;0,54;5,5;43,9;1301,5;0,93
2654;Bajo;13132;2,53;0;25797;6,84;3,67;7,32;0,87;0,24;0,42;2,46;8,9;1481,2;0,08
5377;Alto;30954;2,69;100;37856;6,22;4,17;9,75;2,71;0,92;0,69;2,75;17,9;1724,8;3,35
6998;Alto;45532;2,85;96,51;44635;2,89;4,01;8,38;1,3;1,41;0,92;3,15;34,6;1314,3;1,28
27789;Alto;180038;2,62;100;34372;14,37;6,95;11,12;2,62;27,29;15,46;4,6;31,7;5677,3;4,15
3334;Bajo;14869;2,67;100;49851;2,35;2,57;8,64;0,74;1,37;0,53;1,9;5,8;2552,7;1,96
37888;Alto;261721;2,6;100;35048;8,21;4,99;12,77;1,89;4,35;2,2;2,8;96,4;2716,3;0,14
7806;Alto;50889;2,77;100;51314;3,36;3,24;9,09;1,31;0,96;0,56;2,51;34,1;1491,7;2,64
1036166;Alto;7322564;2,6;100;29823;19,29;8,98;11,77;10,5;13,02;9,84;5,71;320,1;22878,2;54,33
5257;Alto;26436;3,34;100;29043;9,67;3,5;9,33;1,69;7,91;4,31;6,07;9,1;2917,9;1,93
1980;Bajo;12183;2,36;0;32221;6,07;3,14;11,94;1,78;1,17;1,23;1,18;41,8;291,4;0,75
3048;Bajo;16023;2,63;100;34934;5,75;5,39;11,99;1,41;1,1;0,75;2,82;10,1;1581,4;0,58
4026;Bajo;24692;2,54;0;26198;8,72;3,31;11,54;0,89;0,43;0,75;2,47;23;1073,9;0
3763;Bajo;13842;2,35;100;45892;3,33;2,69;12,8;0,32;1,53;1,21;1,82;3,7;3697,1;1,11
15147;Alto;88693;2,7;100;28108;12,92;7,07;16,22;3,29;4,87;3,17;3,68;14,9;5943;2,17
2009;Bajo;11235;2,6;0;23258;15,28;6,5;12,15;1,84;2,47;2,94;4,1;9,4;1189,1;0,09
4614;Alto;28259;2,86;100;22052;22,94;8,34;14,22;9,54;0,19;0,18;5,91;14,9;1900,7;0,1
2438;Bajo;11162;2,8;0;14874;38,27;13,93;11,08;5,78;0,06;2,4;6,59;4,8;2323,5;0,78
